time,SIS
2015-01-01 06:00:00+00:00,0.0
2015-01-01 07:00:00+00:00,8.0
2015-01-01 08:00:00+00:00,61.0
2015-01-01 09:00:00+00:00,145.5
2015-01-01 10:00:00+00:00,111.0
2015-01-01 11:00:00+00:00,122.0
2015-01-01 12:00:00+00:00,176.0
2015-01-01 13:00:00+00:00,112.5
2015-01-01 14:00:00+00:00,22.0
2015-01-01 15:00:00+00:00,0.0
2015-01-01 16:00:00+00:00,0.0
2015-01-02 06:00:00+00:00,0.0
2015-01-02 07:00:00+00:00,1.0
2015-01-02 08:00:00+00:00,21.0
2015-01-02 09:00:00+00:00,41.5
2015-01-02 10:00:00+00:00,43.5
2015-01-02 11:00:00+00:00,58.5
2015-01-02 12:00:00+00:00,47.5
2015-01-02 13:00:00+00:00,49.5
2015-01-02 14:00:00+00:00,18.5
2015-01-02 15:00:00+00:00,0.0
2015-01-02 16:00:00+00:00,0.0
2015-01-03 06:00:00+00:00,0.0
2015-01-03 07:00:00+00:00,6.5
2015-01-03 08:00:00+00:00,64.5
2015-01-03 09:00:00+00:00,114.5
2015-01-03 10:00:00+00:00,130.0
2015-01-03 11:00:00+00:00,137.0
2015-01-03 12:00:00+00:00,127.5
2015-01-03 13:00:00+00:00,77.0
2015-01-03 14:00:00+00:00,21.0
2015-01-03 15:00:00+00:00,0.0
2015-01-03 16:00:00+00:00,0.0
2015-01-04 06:00:00+00:00,0.0
2015-01-04 07:00:00+00:00,8.0
2015-01-04 08:00:00+00:00,59.5
2015-01-04 09:00:00+00:00,89.5
2015-01-04 10:00:00+00:00,80.0
2015-01-04 11:00:00+00:00,122.5
2015-01-04 12:00:00+00:00,140.5
2015-01-04 13:00:00+00:00,93.0
2015-01-04 14:00:00+00:00,26.5
2015-01-04 15:00:00+00:00,0.0
2015-01-04 16:00:00+00:00,0.0
2015-01-05 06:00:00+00:00,0.0
2015-01-05 07:00:00+00:00,6.0
2015-01-05 08:00:00+00:00,46.5
2015-01-05 09:00:00+00:00,50.5
2015-01-05 10:00:00+00:00,51.5
2015-01-05 11:00:00+00:00,49.5
2015-01-05 12:00:00+00:00,64.5
2015-01-05 13:00:00+00:00,44.5
2015-01-05 14:00:00+00:00,11.5
2015-01-05 15:00:00+00:00,0.0
2015-01-05 16:00:00+00:00,0.0
2015-01-06 06:00:00+00:00,0.0
2015-01-06 07:00:00+00:00,4.5
2015-01-06 08:00:00+00:00,36.5
2015-01-06 09:00:00+00:00,72.5
2015-01-06 10:00:00+00:00,91.5
2015-01-06 11:00:00+00:00,69.5
2015-01-06 12:00:00+00:00,77.0
2015-01-06 13:00:00+00:00,63.5
2015-01-06 14:00:00+00:00,17.5
2015-01-06 15:00:00+00:00,0.0
2015-01-06 16:00:00+00:00,0.0
2015-01-07 06:00:00+00:00,0.0
2015-01-07 07:00:00+00:00,6.5
2015-01-07 08:00:00+00:00,25.0
